GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203952-1628389-1629639-1630558-1642276-,A. Wiggins - B. Adebayo - T. Herro - D. Mitchell - K. Ware,1610612748,MIA,1,1,0,1.0,2.0,136.1,133.3,68.0,80.0,68.0,53.3,1.0,3.0,30.0,1.0,0.5,0.667,0.167,0.75,0.82,134.4,125.71,104.76,6,1.5,55,39,1,1,68,27,37,24,1,11,13,1,81,16,84,20,17,31,7,6300
Lineups,-203952-1628389-1629639-1630696-1641796-,A. Wiggins - B. Adebayo - T. Herro - D. Smith - P. Larsson,1610612748,MIA,1,0,1,0.0,2.0,150.0,120.0,128.7,140.0,21.3,-20.0,0.5,0.5,16.7,0.0,0.5,0.5,0.4,1.5,1.5,121.8,129.03,107.53,5,0.44,55,95,62,95,74,40,97,80,71,58,59,69,81,50,116,1,1,26,71,5580
Lineups,-203952-1630558-1631107-1631170-1641796-,A. Wiggins - D. Mitchell - N. Jović - J. Jaquez Jr. - P. Larsson,1610612748,MIA,1,1,0,1.0,2.0,123.0,120.0,100.0,100.0,23.0,20.0,1.0,2.0,25.0,1.0,0.5,0.6,0.2,0.667,0.773,126.6,128.32,106.93,5,0.85,55,39,1,1,79,40,55,43,1,21,21,1,81,26,94,29,22,28,26,5050
Lineups,-203952-1630558-1631107-1631323-1642276-,A. Wiggins - D. Mitchell - N. Jović - S. Fontecchio - K. Ware,1610612748,MIA,2,2,0,1.0,2.0,157.7,175.0,0.0,0.0,157.7,175.0,0.333,0.0,16.7,0.5,1.0,0.667,0.0,0.6,0.643,107.1,100.8,84.0,4,1.545,32,20,1,1,81,13,1,7,89,62,59,11,1,16,1,42,43,96,6,5000
Lineups,-203952-1630696-1631170-1641796-1642276-,A. Wiggins - D. Smith - J. Jaquez Jr. - P. Larsson - K. Ware,1610612748,MIA,2,0,2,0.0,2.0,40.0,33.3,150.0,120.0,-110.0,-86.7,1.0,0.25,14.3,0.0,1.0,1.0,0.667,1.0,1.0,109.8,134.24,111.86,6,0.0,32,95,102,95,70,105,77,109,1,61,75,69,1,1,119,5,6,22,99,5900
Lineups,-203952-1630696-1631107-1631323-1641796-,A. Wiggins - D. Smith - N. Jović - S. Fontecchio - P. Larsson,1610612748,MIA,2,0,2,0.0,2.0,50.0,50.0,153.1,128.6,-103.1,-78.6,1.0,0.33,14.3,0.5,1.0,0.667,0.5,0.5,0.5,128.6,140.75,117.29,6,-0.222,32,95,102,95,64,101,85,106,1,60,75,11,1,16,117,60,74,16,111,6650
Lineups,-203952-1626181-1630558-1631107-1631323-,A. Wiggins - N. Powell - D. Mitchell - N. Jović - S. Fontecchio,1610612748,MIA,1,0,1,0.0,2.0,108.7,116.7,189.1,150.0,-80.4,-33.3,0.667,0.0,25.0,0.0,1.0,0.25,0.0,0.5,0.543,127.0,136.06,113.39,6,0.313,55,95,62,95,67,45,101,86,55,62,21,69,1,100,1,60,66,20,83,6350
Lineups,-203952-1626181-1630696-1631170-1642276-,A. Wiggins - N. Powell - D. Smith - J. Jaquez Jr. - K. Ware,1610612748,MIA,2,2,0,1.0,2.0,183.8,200.0,128.9,100.0,55.0,100.0,0.5,2.0,25.0,1.0,0.5,0.667,0.2,0.9,0.919,91.9,98.63,82.19,5,0.808,32,20,1,1,61,3,55,14,71,21,21,1,81,16,94,15,12,105,30,7300
Lineups,-1628389-1630558-1631170-1631323-1642352-,B. Adebayo - D. Mitchell - J. Jaquez Jr. - S. Fontecchio - K. Johnson,1610612748,MIA,2,2,0,1.0,2.0,166.7,125.0,133.3,133.3,33.3,-8.3,0.5,1.0,20.0,0.0,1.0,1.0,0.25,1.25,1.25,90.9,106.11,88.42,4,0.556,32,20,1,1,84,33,87,72,71,40,41,69,1,1,104,2,2,77,51,4750
Lineups,-1628389-1630558-1631170-1631323-1641796-,B. Adebayo - D. Mitchell - J. Jaquez Jr. - S. Fontecchio - P. Larsson,1610612748,MIA,2,1,1,0.5,2.0,103.1,100.0,159.6,150.0,-56.5,-50.0,1.0,0.0,16.7,0.333,0.0,0.333,0.0,0.375,0.41,95.2,99.65,83.04,4,-0.077,32,39,62,78,72,63,101,91,1,62,59,37,100,85,1,88,94,100,106,5780
Lineups,-1628389-1630558-1631107-1631170-1641796-,B. Adebayo - D. Mitchell - N. Jović - J. Jaquez Jr. - P. Larsson,1610612748,MIA,1,0,1,0.0,2.0,94.9,100.0,100.0,71.4,-5.1,28.6,0.5,0.0,14.3,0.0,1.0,0.4,0.0,0.4,0.475,118.1,135.65,113.04,6,0.333,55,95,62,95,63,63,30,37,71,62,75,69,1,80,1,86,85,21,79,6900
Lineups,-1628389-1630696-1631170-1631323-1641796-,B. Adebayo - D. Smith - J. Jaquez Jr. - S. Fontecchio - P. Larsson,1610612748,MIA,1,0,1,0.0,2.0,202.7,180.0,50.0,50.0,152.7,130.0,1.0,0.0,37.5,0.0,1.0,0.75,0.0,1.125,1.014,94.2,100.47,83.72,5,1.0,55,95,62,95,65,12,21,10,1,62,4,69,1,13,1,4,5,97,17,6450
Lineups,-1630558-1631107-1631170-1631323-1642276-,D. Mitchell - N. Jović - J. Jaquez Jr. - S. Fontecchio - K. Ware,1610612748,MIA,2,0,2,0.0,2.0,125.0,125.0,208.3,200.0,-83.3,-75.0,0.5,0.0,14.3,0.667,0.0,0.667,0.0,0.5,0.5,110.1,112.0,93.33,4,0.208,32,95,102,95,85,33,111,104,71,62,75,10,100,16,1,60,74,58,93,4500
Lineups,-1630696-1631107-1631170-1641796-1642276-,D. Smith - N. Jović - J. Jaquez Jr. - P. Larsson - K. Ware,1610612748,MIA,1,0,1,0.0,2.0,0.0,0.0,50.0,50.0,-50.0,-50.0,0.0,0.0,0.0,0.0,0.667,0.286,0.2,0.0,0.0,110.8,124.62,103.85,5,-0.4,55,95,62,95,77,108,21,91,93,62,93,69,57,98,94,103,108,33,116,5200
Lineups,-1630696-1631107-1631323-1641796-1642276-,D. Smith - N. Jović - S. Fontecchio - P. Larsson - K. Ware,1610612748,MIA,2,2,0,1.0,2.0,119.0,116.7,82.0,80.0,37.1,36.7,1.0,2.0,22.2,0.5,0.667,0.6,0.167,0.625,0.717,131.3,134.24,111.86,6,0.824,32,20,1,1,70,45,37,31,1,21,34,11,57,26,84,37,30,22,28,5900
Lineups,-1626181-1628389-1630558-1631170-1642276-,N. Powell - B. Adebayo - D. Mitchell - J. Jaquez Jr. - K. Ware,1610612748,MIA,3,3,0,1.0,2.0,113.0,133.3,102.0,85.7,11.0,47.6,1.0,0.0,22.2,0.333,1.0,0.6,0.0,0.5,0.565,130.1,130.45,108.71,6,0.609,20,9,1,1,62,27,45,26,1,62,34,37,1,26,1,60,57,25,44,7175
Lineups,-1626181-1628389-1630696-1631107-1631170-,N. Powell - B. Adebayo - D. Smith - N. Jović - J. Jaquez Jr.,1610612748,MIA,1,1,0,1.0,2.0,200.0,200.0,0.0,0.0,200.0,200.0,0.667,0.0,33.3,0.0,1.0,0.8,0.0,1.0,1.0,89.3,100.47,83.72,4,1.286,55,39,1,1,65,3,1,3,55,62,5,69,1,12,1,5,6,97,11,6450
Lineups,-1626181-1628389-1630696-1641796-1642276-,N. Powell - B. Adebayo - D. Smith - P. Larsson - K. Ware,1610612748,MIA,1,1,0,1.0,2.0,66.7,66.7,75.0,75.0,-8.3,-8.3,1.0,1.0,25.0,0.0,1.0,0.667,0.333,0.5,0.5,102.9,102.86,85.71,3,0.6,55,39,1,1,82,92,32,72,1,40,21,69,1,16,110,60,74,89,46,4900
